Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2016-06-01T13:12:00+00:00,,,52.480049,-1.893280,,25-34,Black or Black British - Caribbean (B1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-01T13:21:00+00:00,,,52.407528,-1.852868,,18-24,Black or Black British - Caribbean (B1),Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Local resolution,False,False
Person search,2016-06-01T13:32:00+00:00,,,52.413023,-1.773916,,over 34,Mixed - White and Black Caribbean (M1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-01T13:54:00+00:00,,,52.482793,-1.885970,,18-24,Black or Black British - African (B2),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-01T13:59:00+00:00,,,52.508047,-1.764663,,18-24,White - White British (W1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person search,2016-06-01T13:59:00+00:00,,,52.508047,-1.764663,,10-17,White - White British (W1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person and Vehicle search,2016-06-01T14:34:00+00:00,,,52.384247,-1.472341,,over 34,Asian or Asian British - Pakistani (A2),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-01T14:59:00+00:00,,,52.502297,-2.117750,,25-34,White - White British (W1),,,,Nothing found - no further action,,False
Person and Vehicle search,2016-06-01T15:42:00+00:00,,,52.562106,-2.037898,,18-24,Black or Black British - Caribbean (B1),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2016-06-01T15:42:00+00:00,,,52.562106,-2.037898,,10-17,Black or Black British - Caribbean (B1),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-01T16:09:00+00:00,,,52.624421,-2.129113,,over 34,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person and Vehicle search,2016-06-01T17:13:00+00:00,,,52.437765,-2.076242,,25-34,White - White British (W1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2016-06-01T17:52:00+00:00,,,52.547336,-1.863934,,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person and Vehicle search,2016-06-01T18:11:00+00:00,,,52.521503,-1.845193,,25-34,White - White British (W1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,False,False
Person search,2016-06-01T18:36:00+00:00,,,52.600130,-2.091274,,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-01T18:50:00+00:00,,,52.471918,-1.805398,,25-34,White - White British (W1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-01T19:10:00+00:00,,,52.598205,-2.167038,,over 34,Black or Black British - Caribbean (B1),Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,False,False
Person search,2016-06-01T19:25:00+00:00,,,52.526203,-1.837129,,over 34,Black or Black British - Any other Black ethnic background (B9),Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person and Vehicle search,2016-06-01T20:50:00+00:00,,,52.462349,-2.081848,,25-34,Mixed - White and Black Caribbean (M1),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2016-06-01T21:42:00+00:00,,,52.556017,-1.861399,,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person search,2016-06-01T21:49:00+00:00,,,52.479762,-1.974763,,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person search,2016-06-01T22:20:00+00:00,,,52.464170,-1.842641,,10-17,Asian or Asian British - Pakistani (A2),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Local resolution,False,False
Person search,2016-06-01T22:20:00+00:00,,,52.464170,-1.842641,,10-17,Asian or Asian British - Pakistani (A2),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Local resolution,False,False
Person search,2016-06-01T23:39:00+00:00,,,52.569858,-2.028536,,10-17,Black or Black British - Caribbean (B1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-01T23:39:00+00:00,,,52.569858,-2.028536,,18-24,Black or Black British - Caribbean (B1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-01T23:39:00+00:00,,,52.569858,-2.028536,,10-17,Black or Black British - Caribbean (B1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-01T23:50:00+00:00,,,52.464170,-1.842641,,10-17,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Article found - Detailed outcome unavailable,,False
Person search,2016-06-02T00:45:00+00:00,,,52.476745,-1.909469,,25-34,Black or Black British - Any other Black ethnic background (B9),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-02T00:45:00+00:00,,,52.476745,-1.909469,,25-34,Black or Black British - Any other Black ethnic background (B9),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2016-06-02T01:20:00+00:00,,,52.461815,-1.901169,,25-34,Black or Black British - Caribbean (B1),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Vehicle search,2016-06-02T01:40:00+00:00,,,52.483916,-1.948476,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-02T01:53:00+00:00,,,52.399500,-1.820120,,18-24,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,True,False
Person search,2016-06-02T01:53:00+00:00,,,52.399500,-1.820120,,18-24,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,True,False
Person search,2016-06-02T03:31:00+00:00,,,52.495237,-1.834032,,18-24,Asian or Asian British - Any other Asian ethnic background (A9),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,False
Person search,2016-06-02T03:31:00+00:00,,,52.495237,-1.834032,,10-17,Black or Black British - Any other Black ethnic background (B9),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,False
Person search,2016-06-02T04:54:00+00:00,,,52.392873,-1.971624,,over 34,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2016-06-02T06:35:00+00:00,,,52.533741,-1.821445,,10-17,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,False
Vehicle search,2016-06-02T07:22:00+00:00,,,52.458973,-1.863720,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,False
Person search,2016-06-02T07:57:00+00:00,,,52.532513,-1.818103,,10-17,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,False
Person search,2016-06-02T08:01:00+00:00,,,52.532513,-1.818103,,10-17,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,False
Person and Vehicle search,2016-06-02T10:15:00+00:00,,,52.509553,-1.843644,,over 34,White - Any other White ethnic background (W9),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,False
Person and Vehicle search,2016-06-02T10:15:00+00:00,,,52.509553,-1.843644,,18-24,White - Any other White ethnic background (W9),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,False
Person and Vehicle search,2016-06-02T10:15:00+00:00,,,52.509553,-1.843644,,18-24,White - Any other White ethnic background (W9),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,False
Person and Vehicle search,2016-06-02T10:15:00+00:00,,,52.509553,-1.843644,,,White - Any other White ethnic background (W9),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,False
Person search,2016-06-02T10:30:00+00:00,,,52.499197,-1.945203,,25-34,Asian or Asian British - Pakistani (A2),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-02T10:44:00+00:00,,,52.506135,-1.842197,,over 34,Asian or Asian British - Pakistani (A2),,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,True,False
Person search,2016-06-02T10:58:00+00:00,,,52.562923,-1.822462,,18-24,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,False
Person and Vehicle search,2016-06-02T11:38:00+00:00,,,52.595113,-1.987970,,over 34,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2016-06-02T12:12:00+00:00,,,52.445298,-1.784300,,10-17,Asian or Asian British - Pakistani (A2),Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Vehicle search,2016-06-02T13:09:00+00:00,,,52.574137,-2.133023,,,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect summonsed to court,False,False
Person search,2016-06-02T14:30:00+00:00,,,52.465835,-1.891563,,over 34,White - White British (W1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person search,2016-06-02T14:55:00+00:00,,,52.449740,-1.863086,,18-24,Asian or Asian British - Pakistani (A2),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-02T14:55:00+00:00,,,52.449740,-1.863086,,18-24,Asian or Asian British - Pakistani (A2),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-02T15:42:00+00:00,,,52.511012,-2.081718,,18-24,White - White British (W1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-02T17:29:00+00:00,,,52.443762,-1.491036,,10-17,Mixed - White and Black Caribbean (M1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-02T17:36:00+00:00,,,52.476433,-1.890594,,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2016-06-02T17:40:00+00:00,,,52.465214,-2.117709,,18-24,Black or Black British - Caribbean (B1),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person and Vehicle search,2016-06-02T17:40:00+00:00,,,52.465214,-2.117709,,18-24,Black or Black British - Caribbean (B1),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person search,2016-06-02T18:33:00+00:00,,,52.541193,-1.887308,,10-17,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2016-06-02T18:33:00+00:00,,,52.541193,-1.887308,,10-17,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2016-06-02T18:33:00+00:00,,,52.541193,-1.887308,,10-17,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2016-06-02T18:33:00+00:00,,,52.541193,-1.887308,,10-17,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2016-06-02T18:33:00+00:00,,,52.541193,-1.887308,,10-17,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2016-06-02T19:00:00+00:00,,,52.491051,-1.926597,,10-17,Black or Black British - Caribbean (B1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2016-06-02T19:13:00+00:00,,,52.491051,-1.926597,,18-24,Black or Black British - Caribbean (B1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-02T19:18:00+00:00,,,52.491051,-1.926597,,18-24,Mixed - White and Black Caribbean (M1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-02T19:19:00+00:00,,,52.538010,-2.006974,,25-34,White - White British (W1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,False,False
Person search,2016-06-02T20:00:00+00:00,,,52.522695,-1.842639,,18-24,Black or Black British - African (B2),,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,False
Person search,2016-06-02T20:00:00+00:00,,,52.522695,-1.842639,,18-24,Black or Black British - African (B2),,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,False
Person search,2016-06-02T20:00:00+00:00,,,52.522695,-1.842639,,18-24,Black or Black British - African (B2),,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,False
Person search,2016-06-02T20:25:00+00:00,,,52.484795,-1.892164,,18-24,Black or Black British - African (B2),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-02T20:36:00+00:00,,,52.479850,-1.891720,,,Black or Black British - African (B2),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-02T21:03:00+00:00,,,52.502989,-1.748897,,18-24,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,False,False
Person search,2016-06-02T21:36:00+00:00,,,52.414986,-1.485016,,18-24,Black or Black British - Caribbean (B1),Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person search,2016-06-02T22:00:00+00:00,,,52.476614,-1.892331,,over 34,Black or Black British - African (B2),,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person search,2016-06-02T22:07:00+00:00,,,52.475448,-1.885768,,10-17,Black or Black British - Caribbean (B1),Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person search,2016-06-02T22:46:00+00:00,,,52.480049,-1.893280,,10-17,Mixed - White and Black Caribbean (M1),Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-02T23:40:00+00:00,,,52.474298,-1.896047,,18-24,Black or Black British - Caribbean (B1),Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person search,2016-06-03T00:08:00+00:00,,,52.498997,-1.889979,,18-24,Asian or Asian British - Bangladeshi (A3),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-03T00:08:00+00:00,,,52.498997,-1.889979,,18-24,Asian or Asian British - Pakistani (A2),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2016-06-03T00:08:00+00:00,,,52.499936,-1.894455,,25-34,Asian or Asian British - Any other Asian ethnic background (A9),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Vehicle search,2016-06-03T00:13:00+00:00,,,52.498191,-1.883986,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2016-06-03T03:29:00+00:00,,,52.545898,-2.035568,,25-34,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person search,2016-06-03T04:01:00+00:00,,,52.476550,-1.901636,,over 34,Black or Black British - Caribbean (B1),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2016-06-03T05:37:00+00:00,,,52.504684,-1.991397,,18-24,Asian or Asian British - Indian (A1),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-03T09:05:00+00:00,,,52.488436,-1.970885,,25-34,Black or Black British - Any other Black ethnic background (B9),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person and Vehicle search,2016-06-03T10:47:00+00:00,,,52.556017,-1.861399,,18-24,White - White British (W1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person search,2016-06-03T11:08:00+00:00,,,52.593190,-2.129833,,over 34,White - Any other White ethnic background (W9),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,False
Person and Vehicle search,2016-06-03T11:50:00+00:00,,,52.494081,-1.766843,,over 34,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,False,False
Person search,2016-06-03T12:15:00+00:00,,,52.413890,-1.780733,,10-17,Mixed - White and Black Caribbean (M1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person and Vehicle search,2016-06-03T13:43:00+00:00,,,52.506965,-1.813273,,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,False,False
Person search,2016-06-03T14:32:00+00:00,,,52.526203,-1.837129,,over 34,Black or Black British - Any other Black ethnic background (B9),,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person search,2016-06-03T15:01:00+00:00,,,52.618391,-2.088550,,25-34,Black or Black British - Caribbean (B1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person and Vehicle search,2016-06-03T15:01:00+00:00,,,52.618391,-2.088550,,25-34,Mixed - White and Black Caribbean (M1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Vehicle search,2016-06-03T15:33:00+00:00,,,52.507865,-1.803044,,,,,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,False
Person search,2016-06-03T16:41:00+00:00,,,52.573775,-2.036978,,18-24,White - White British (W1),,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person search,2016-06-03T17:58:00+00:00,,,52.542632,-1.921808,,over 34,White - Any other White ethnic background (W9),,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person and Vehicle search,2016-06-03T18:40:00+00:00,,,52.507137,-1.916611,,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2016-06-03T18:48:00+00:00,,,52.487420,-1.843943,,over 34,Asian or Asian British - Pakistani (A2),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2016-06-03T20:14:00+00:00,,,52.462521,-2.048850,,18-24,White - White British (W1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,False
Person and Vehicle search,2016-06-03T20:14:00+00:00,,,52.462521,-2.048850,,18-24,White - White British (W1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,False
Person and Vehicle search,2016-06-03T20:23:00+00:00,,,52.517891,-1.999868,,18-24,Asian or Asian British - Pakistani (A2),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2016-06-03T20:23:00+00:00,,,52.517891,-1.999868,,18-24,Asian or Asian British - Pakistani (A2),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2016-06-03T20:23:00+00:00,,,52.517891,-1.999868,,,Asian or Asian British - Pakistani (A2),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2016-06-03T20:53:00+00:00,,,52.444146,-1.907578,,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-03T20:59:00+00:00,,,52.444146,-1.907578,,25-34,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-03T21:38:00+00:00,,,52.471996,-2.113547,,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2016-06-03T21:42:00+00:00,,,52.471996,-2.113547,,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person and Vehicle search,2016-06-03T22:09:00+00:00,,,52.444213,-1.873343,,10-17,Asian or Asian British - Pakistani (A2),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2016-06-03T22:09:00+00:00,,,52.444213,-1.873343,,10-17,Asian or Asian British - Pakistani (A2),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-03T22:23:00+00:00,,,52.518637,-1.994622,,18-24,Black or Black British - Caribbean (B1),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-03T22:23:00+00:00,,,52.518637,-1.994622,,over 34,Black or Black British - Caribbean (B1),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-03T22:39:00+00:00,,,52.572562,-2.142107,,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person search,2016-06-03T23:38:00+00:00,,,52.399623,-1.475112,,10-17,White - White British (W1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,False
Person search,2016-06-03T23:38:00+00:00,,,52.399623,-1.475112,,10-17,White - White British (W1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2016-06-03T23:38:00+00:00,,,52.399623,-1.475112,,10-17,White - White British (W1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person search,2016-06-03T23:38:00+00:00,,,52.399623,-1.475112,,10-17,White - White British (W1),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
