,FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores,SchemeType,NewRatingPending,Geocode,AddressLine3,AddressLine4
17,896350,PI/000256134,Abbey Road Traditional Butchers Ltd,Retailers - other,4613,14 Abbey Road,Lower Gornal,DY3 2PQ,5,fhrs_5_en-GB,2020-01-06,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
18,930203,PI/000235435,Abbeygate Care Home,Hospitals/Childcare/Caring Premises,5,2 Leys Road,Brockmoor,DY5 3UR,5,fhrs_5_en-GB,2018-11-26,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Brierley Hill,
19,500418,PI/000019921,Abbeymere Care Home,Hospitals/Childcare/Caring Premises,5,12 Eggington Road,Wollaston,DY8 4QJ,4,fhrs_4_en-GB,2020-01-14,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Stourbridge,
20,500668,PI/000029987,Abercarn Residential Home,Hospitals/Childcare/Caring Premises,5,56 High Street,Pensnett,DY5 4RS,5,fhrs_5_en-GB,2019-09-11,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Brierley Hill,
21,501648,PI/000083656,Abraham Darby,Pub/bar/nightclub,7843,L103 Merry Hill Centre,Brierley Hill,DY5 1SJ,5,fhrs_5_en-GB,2018-10-25,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
22,1149202,PI/000240405,Acai Hut,Mobile caterer,7846,,,,5,fhrs_5_en-GB,2019-05-07,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
23,501138,PI/000046934,Action on Hearing Loss,Hospitals/Childcare/Caring Premises,5,Pippin House,60 Olive Lane,B62 8LZ,5,fhrs_5_en-GB,2013-06-17,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Halesowen,
24,500293,PI/000014718,Adam Myers Chemists,Retailers - other,4613,118 Colley Gate,Cradley,B63 2BU,Exempt,fhrs_exempt_en-GB,2013-01-16,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Halesowen,
25,501392,PI/000061221,Adam Myers Pharmacy,Retailers - other,4613,95 The Broadway,Norton,DY8 3HX,Exempt,fhrs_exempt_en-GB,2013-06-13,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Stourbridge,
26,700346,PI/000151026,Ade's Greengrocers,Retailers - other,4613,Black Country Living Museum,Tipton Road,DY1 4SQ,4,fhrs_4_en-GB,2014-09-01,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
27,1155233,PI/000240807,Admiral Casino,Retailers - other,4613,48 High Street,Brierley Hill,DY5 3AE,Exempt,fhrs_exempt_en-GB,2019-07-19,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
28,1109235,PI/000239740,Africa Xpress,Retailers - supermarkets/hypermarkets,7840,104 High Street,Brierley Hill,DY5 3AP,1,fhrs_1_en-GB,2019-02-11,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
29,873870,PI/000163964,African Caribbean Community Network,Restaurant/Cafe/Canteen,1,Abberley Street Centre,Abberley Street,DY2 8QY,5,fhrs_5_en-GB,2019-03-27,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
30,984695,PI/000236556,Age UK Dudley,Restaurant/Cafe/Canteen,1,6-6A Ettymore Road,Sedgley,DY3 3SG,5,fhrs_5_en-GB,2019-07-10,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
31,1136494,PI/000240612,Aimees Table,Other catering premises,7841,,,,5,fhrs_5_en-GB,2019-08-15,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
32,500754,PI/000030659,AJ'S,Restaurant/Cafe/Canteen,1,180 High Street,Lye,DY9 8LH,3,fhrs_3_en-GB,2020-01-15,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Stourbridge,
33,980268,PI/000236132,Al Noor Supermarket,Retailers - supermarkets/hypermarkets,7840,47-51 Stafford Street,Dudley,DY1 2AB,4,fhrs_4_en-GB,2019-06-17,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
34,500027,PI/000000678,Alam International,Restaurant/Cafe/Canteen,1,7-8 Albion Parade,Wall Heath,DY6 0NP,5,fhrs_5_en-GB,2019-03-14,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Kingswinford,
35,500543,PI/000026816,Alan Warwick Butchers,Retailers - other,4613,29 Hagley Street,Halesowen,B63 3AA,3,fhrs_3_en-GB,2020-01-13,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
36,501411,PI/000061713,Alan Warwick Butchers,Retailers - other,4613,Unit 19,The Moor Centre,DY5 3AH,5,fhrs_5_en-GB,2019-02-25,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Brierley Hill,
37,501754,PI/000119867,Aldi,Retailers - supermarkets/hypermarkets,7840,Bridgnorth Road,Wollaston,DY8 3QQ,5,fhrs_5_en-GB,2019-06-25,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Stourbridge,
38,1090177,PI/000215697,Aldi,Retailers - supermarkets/hypermarkets,7840,Dudley Road,Lye,DY9 8EL,5,fhrs_5_en-GB,2018-11-19,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
39,1063937,PI/000236715,Aldi,Retailers - supermarkets/hypermarkets,7840,Dudley Road,Kingswinford,DY6 8BT,5,fhrs_5_en-GB,2018-07-05,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
40,501924,PI/000131778,Aldi,Retailers - supermarkets/hypermarkets,7840,Earlsway,Halesowen,B63 3HR,5,fhrs_5_en-GB,2019-08-15,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
41,501817,PI/000125092,Aldi,Retailers - supermarkets/hypermarkets,7840,New Road,Stourbridge,DY8 1PB,5,fhrs_5_en-GB,2017-05-17,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
42,500385,PI/000019155,Aldi,Retailers - supermarkets/hypermarkets,7840,Oak Park,Dudley Road,DY5 1HR,5,fhrs_5_en-GB,2019-07-25,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Brierley Hill,
43,501164,PI/000048725,Aldi,Retailers - supermarkets/hypermarkets,7840,Peartree Lane,Netherton,DY2 0UW,5,fhrs_5_en-GB,2019-06-12,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
44,932494,PI/000233953,Aldi,Retailers - supermarkets/hypermarkets,7840,Priory Road,Dudley,DY1 4DS,5,fhrs_5_en-GB,2019-10-03,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
45,901377,PI/000231194,Aldi,Retailers - supermarkets/hypermarkets,7840,Saltwells Road,Netherton,DY2 9PE,5,fhrs_5_en-GB,2017-02-03,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
46,1224422,PI/000241831,Alexander,Restaurant/Cafe/Canteen,1,853 High Street,Kingswinford,DY6 8AA,AwaitingInspection,fhrs_awaitinginspection_en-GB,,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
47,1392127,PI/000242708,All Day Food Xpress,Retailers - other,4613,202 High Street,Dudley,DY1 1QQ,AwaitingInspection,fhrs_awaitinginspection_en-GB,,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,True,,,
48,629848,PI/000145934,All Delicious Cakes,Other catering premises,7841,,,,5,fhrs_5_en-GB,2014-01-31,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
49,944670,PI/000235710,All Occasions,Retailers - other,4613,360 Hagley Road,Halesowen,B63 4JT,Exempt,fhrs_exempt_en-GB,2017-02-03,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
50,500557,PI/000026969,Allans Shopping Centre,Retailers - other,4613,117-123 Halesowen Road,Netherton,DY2 9PY,Exempt,fhrs_exempt_en-GB,2009-01-27,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
51,501293,PI/000056565,Allenbrook Nursing Home,Hospitals/Childcare/Caring Premises,5,209 Spies Lane,Halesowen,B62 9SJ,2,fhrs_2_en-GB,2019-05-23,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
52,944678,PI/000235753,Alliance in Partnership,Other catering premises,7841,St James's Ce Primary School,Kingsway,DY8 4RU,4,fhrs_4_en-GB,2019-03-05,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Wollaston,Stourbridge
53,664552,PI/000146807,Amadeus at Dudley Zoo,Restaurant/Cafe/Canteen,1,Dudley And West Midlands Zoological Society Ltd,Castle Hill,DY1 4QF,5,fhrs_5_en-GB,2019-06-24,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
54,639048,PI/000147524,Amanda's Luxury Wedding Cakes,Other catering premises,7841,,,,5,fhrs_5_en-GB,2014-03-24,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
55,502135,PI/000136315,Amar News,Retailers - other,4613,104 High Street,Pensnett,DY5 4DP,3,fhrs_3_en-GB,2019-12-16,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Brierley Hill,
56,501363,PI/000058934,Amberley Residential Care Home,Hospitals/Childcare/Caring Premises,5,481-483 Stourbridge Road,Brierley Hill,DY5 1LB,5,fhrs_5_en-GB,2020-01-13,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
57,500135,PI/000008066,Amblecote Christian Centre,Restaurant/Cafe/Canteen,1,102-104,Brettell Lane,DY8 4BS,5,fhrs_5_en-GB,2019-02-14,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Brierley Hill,Stourbridge
58,1212194,PI/000241591,Amblecote Fish Bar,Other catering premises,7841,7 Collis Street,Amblecote,DY8 4EA,3,fhrs_3_en-GB,2019-11-26,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Stourbridge,
59,500309,PI/000014854,Amblecote Institute Social Club,Pub/bar/nightclub,7843,Collis Street,Amblecote,DY8 4EA,5,fhrs_5_en-GB,2018-04-19,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Stourbridge,
60,501272,PI/000054607,Amblecote Primary School,School/college/university,7845,School Drive,Amblecote,DY8 4DQ,5,fhrs_5_en-GB,2017-12-05,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Stourbridge,
61,501273,PI/000054618,Amblecote Royal British Legion,Pub/bar/nightclub,7843,School Drive,Amblecote,DY8 4DQ,5,fhrs_5_en-GB,2017-05-17,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Stourbridge,
62,500528,PI/000026593,Ameena,Restaurant/Cafe/Canteen,1,192 Hagley Road,Halesowen,B63 4RR,3,fhrs_3_en-GB,2019-03-20,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
63,1350480,PI/000243837,Amelia's,Takeaway/sandwich shop,7844,209 Priory Road,Priory Road,DY1 4EE,AwaitingInspection,fhrs_awaitinginspection_en-GB,,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
64,1371035,PI/000243757,American Snax Lye,Retailers - other,4613,188 High Street,Lye,DY9 8LH,1,fhrs_1_en-GB,2021-08-11,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Stourbridge,
65,1355852,PI/000243964,Amie Bakes,Retailers - other,4613,,,,5,fhrs_5_en-GB,2021-04-09,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
66,1295232,PI/000241886,Amy's Chinese,Takeaway/sandwich shop,7844,245 Stourbridge Road,Dudley,DY1 2EG,3,fhrs_3_en-GB,2020-10-19,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
67,1384358,PI/000244565,Anatolia Grill,Restaurant/Cafe/Canteen,1,41 High Street,Stourbridge,DY8 1DA,AwaitingInspection,fhrs_awaitinginspection_en-GB,,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
68,1095758,PI/000239904,Angie B Cakes,Other catering premises,7841,,,,5,fhrs_5_en-GB,2019-02-13,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
69,896327,PI/000253254,Ann Summers,Retailers - other,4613,L45a,Merry Hill Centre,DY5 1SL,Exempt,fhrs_exempt_en-GB,2018-06-12,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Brierley Hill,
70,896263,PI/000226142,Annies Kitchen,Mobile caterer,7846,Waterside Industrial Estate,Cradley Road,DY2 9RG,1,fhrs_1_en-GB,2020-02-12,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Netherton,Dudley
71,920402,PI/000234948,Ann's Thai Restaurant at Bulls Head,Pub/bar/nightclub,7843,27 Bilston Street,Sedgley,DY3 1JA,3,fhrs_3_en-GB,2020-01-21,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
72,1127571,PI/000240363,Antoinette's Luxury Cupcakes,Other catering premises,7841,,,,5,fhrs_5_en-GB,2019-04-02,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
73,500291,PI/000014665,Antonio's Ice Cream,Mobile caterer,7846,,,,5,fhrs_5_en-GB,2020-02-26,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
74,1360691,PI/000243968,Anvi Restaurant,Restaurant/Cafe/Canteen,1,8 Stourbridge Road,Lye,DY9 7DL,3,fhrs_3_en-GB,2021-04-22,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Stourbridge,
75,975867,PI/000236072,Any Event Cakes and More,Retailers - other,4613,"Plaza Mall, 33-34",High Street,DY1 1PJ,5,fhrs_5_en-GB,2017-04-25,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
76,1197114,PI/000241363,ARC,Hospitals/Childcare/Caring Premises,5,Atlantic House,Dudley Road,DY9 8EL,5,fhrs_5_en-GB,2019-10-07,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Lye,Stourbridge
77,778717,PI/000163911,Arcade Cafe,Restaurant/Cafe/Canteen,1,7-15 Fountain Arcade,Dudley,DY1 1PG,5,fhrs_5_en-GB,2019-07-10,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
78,501382,PI/000060920,Arcade Pharmacy,Retailers - other,4613,4 The Arcade,Upper Gornal,DY3 2DA,Exempt,fhrs_exempt_en-GB,2013-06-13,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
79,500713,PI/000030357,Argos,Retailers - other,4613,179-183 High Street,Dudley,DY1 1QF,Exempt,fhrs_exempt_en-GB,2008-05-09,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
80,1095753,PI/000239759,Argos,Retailers - other,4613,Sainsbury's,Sandringham Way,DY5 3JR,Exempt,fhrs_exempt_en-GB,2017-08-03,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Brierley Hill,
81,501000,PI/000041933,Argos Extra,Retailers - other,4613,Merry Hill Centre,Brierley Hill,DY5 1QZ,Exempt,fhrs_exempt_en-GB,2013-01-16,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
82,501901,PI/000131155,Asda,Retailers - supermarkets/hypermarkets,7840,164 High Street,Dudley,DY1 1QS,5,fhrs_5_en-GB,2019-11-20,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
83,501963,PI/000132848,Asda,Retailers - supermarkets/hypermarkets,7840,Daisy Street,Coseley,WV14 8QQ,4,fhrs_4_en-GB,2018-10-08,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Bilston,
84,1097383,PI/000239936,Asda,Retailers - supermarkets/hypermarkets,7840,High Holborn,Sedgley,DY3 1SS,5,fhrs_5_en-GB,2019-09-24,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
85,501002,PI/000041937,Asda,Retailers - supermarkets/hypermarkets,7840,Merry Hill Centre,Brierley Hill,DY5 1QL,5,fhrs_5_en-GB,2019-04-05,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
86,501162,PI/000048671,Asda,Retailers - supermarkets/hypermarkets,7840,Pearson Street,Brierley Hill,DY5 3BJ,5,fhrs_5_en-GB,2019-04-08,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
87,501936,PI/000132006,Asda,Retailers - supermarkets/hypermarkets,7840,Saltwells Road,Netherton,DY2 9RR,5,fhrs_5_en-GB,2018-11-29,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
88,896307,PI/000251543,Asda Restaurant,Restaurant/Cafe/Canteen,1,Asda Supermarket,Merry Hill Centre,DY5 1QL,4,fhrs_4_en-GB,2019-11-11,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Brierley Hill,
89,501763,PI/000121184,Asda Superstore,Retailers - supermarkets/hypermarkets,7840,Queensway Mall,The Halesowen Cornbow,B63 4AB,5,fhrs_5_en-GB,2019-04-24,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Halesowen,
90,1321703,PI/000243406,Ashbourne Care Home,Hospitals/Childcare/Caring Premises,5,Ashbourne Care Centre,Lightwood Road,DY1 2RS,AwaitingInspection,fhrs_awaitinginspection_en-GB,,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
91,500415,PI/000019375,Ashgrove  Care Home-HC-One,Hospitals/Childcare/Caring Premises,5,9 Dudley Wood Road,Netherton,DY2 0DA,5,fhrs_5_en-GB,2018-10-01,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
92,500083,PI/000004836,Ashwood Park Primary School,School/college/university,7845,Bells Lane,Wordsley,DY8 5DJ,4,fhrs_4_en-GB,2018-10-09,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Stourbridge,
93,500230,PI/000011173,Assembly Hall of Jehovahs Witnesses,Restaurant/Cafe/Canteen,1,22 Castle Hill,Dudley,DY1 4QQ,5,fhrs_5_en-GB,2017-06-05,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
94,1042826,PI/000238103,Aston Quality Foods,Retailers - other,4613,Shop,12 Albion Parade,DY6 0NP,4,fhrs_4_en-GB,2021-03-31,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Wall Heath,Kingswinford
95,999475,PI/000236995,Autograph at E-On,Restaurant/Cafe/Canteen,1,"E-On, Larch House",241-243 High Street,DY6 8BN,5,fhrs_5_en-GB,2017-09-14,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Kingswinford,
96,683280,PI/000141496,Avenue31 Bakes,Other catering premises,7841,,,,5,fhrs_5_en-GB,2014-10-10,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
97,501120,PI/000045736,Avondale Residential Home,Hospitals/Childcare/Caring Premises,5,45 Norton Road,Norton,DY8 2AH,5,fhrs_5_en-GB,2020-02-06,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Stourbridge,
98,896330,PI/000253747,AZ News,Retailers - other,4613,86 Stourbridge Road,Halesowen,B63 3UP,5,fhrs_5_en-GB,2019-11-28,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,,
99,501458,PI/000063296,B & M Bargains,Retailers - other,4613,9-12 Trident Centre,High Street,DY1 1QJ,5,fhrs_5_en-GB,2013-06-14,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley,
100,500392,PI/000019201,B & M Bargains,Retailers - other,4613,Unit 2 And Unit 3,Oak Park,DY5 1HR,5,fhrs_5_en-GB,2012-10-26,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Dudley Road,Brierley Hill
101,696361,PI/000150677,B & Q Cafe,Restaurant/Cafe/Canteen,1,B & Q Retail Warehouse,Mucklow Hill,B62 8EP,5,fhrs_5_en-GB,2018-09-17,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Halesowen,
102,1349969,PI/000242160,B P,Retailers - other,4613,Bp Petrol Filling Station,Dudley Road,DY6 8WT,5,fhrs_5_en-GB,2021-03-02,409,Dudley,http://www.dudley.gov.uk,Food.DUE@dudley.gov.uk,,FHRS,False,,Kingswinford,
