NID_ID,STATE,DAM_NAME,OTHER_NAME,HAZARD,EAP,STATE_NAME,CONG_DIST,COUNTY,NEAR_CITY,DIST_CITY,RIVER,PRM_PURPOS,NID_DAMTYP,YEAR_COMPL,NID_HEIGHT,NID_STOR,DAM_LENGTH,MAX_DISCH,OWNER,OWN_TYPE,STATE_AGCY,FED_AGCY,NONFED_DAM,SECT_TOWN,PURPOSE,DAM_TYPE,DAM_HEIGHT,HYDR_HGT,STRUCT_HGT,NORM_STOR,MAX_STOR,SURF_AREA,DRAIN_AREA,SPILL_TYPE,SPILL_WDTH,NUM_LOCKS,LOCK_LEN,LOCK_WIDTH,VOLUME,INSP_DATE,PHASEI_INS,FD_CONSTRC,FD_DESIGN,FD_FUNDING,FD_INSPECT,FD_OPERATE,FD_OTHER,FD_OWNER,FD_REGULAT,SUPP_FED,SUPP_DATE,SOURC_AGCY,SOURC_DATE,SOURCE_ID,LONGITUD_X,LATITUDE_Y,FIPS_STATE,FIPS_CNTY,RECID
OH00011,OH,PIEDMONT DAM,PIEDMONT LAKE,HIGH,NO,OHIO,OH-18,HARRISON,FREEPORT,4,STILLWATER CREEK,FLOOD CONTROL,GRAVITY,1937,56,66700,1750,15200,DAEN-ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CROF,RE,,45,56,34500,66700,2312,86,U,130,,,,642900,27/06/1994,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,71147,-81.213333,40.19,39,39067,11
OH00012,OH,CLENDENING DAM,CLENDENING LAKE,HIGH,NO,OHIO,OH-18,HARRISON,TIPPECANOE,1,BRUSHY FK OF STILLWATER CK,FLOOD CONTROL,GRAVITY,1936,64,54000,950,13200,DAEN ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CROF,RE,,57,64,26500,54000,1800,69,U,128,,,,224500,29/06/1994,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,71142,-81.276667,40.27,39,39067,12
OH00013,OH,SENECAVILLE DAM,SENECAVILLE LAKE,HIGH,NO,OHIO,OH-18,GUERNSEY,SENECAVILLE,2,SENECA FORK OF WILLS CREEK,FLOOD CONTROL,GRAVITY,1937,45,88500,2350,11400,DAEN ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CROF,RE,,28,45,43500,88500,3550,118,U,73,,,,380853,07/08/1991,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,71149,-81.445,39.926667,39,39059,13
OH00014,OH,LEESVILLE DAM,LEESVILLE LAKE,HIGH,NO,OHIO,OH-18,CARROLL,SHERRODVILLE,4,MCGUIRE CREEK,FLOOD CONTROL,GRAVITY,1937,74,37400,1695,19700,DAEN-ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CROF,RE,,63,74,19500,37400,1000,48,U,150,,,,681000,17/08/1993,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,71144,-81.195,40.468333,39,39019,14
OH00015,OH,DELAWARE DAM,DELAWARE LAKE,HIGH,YES,OHIO,OH-12,DELAWARE,DELAWARE,3,OLENTANGY RIVER,FLOOD CONTROL,GRAVITY,1948,92,132000,18600,96000,DAEN-ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CRSOF,CNPGRE,,66,92,14000,132000,1300,386,C,192,,,,1287000,16/07/1990,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,04580,-83.07,40.36,39,39041,15
OH00016,OH,MOHAWK DAM,NONE - DRY DAM,HIGH,YES,OHIO,OH-18,COSHOCTON,WARSAW,6,WALHONDING RIVER,FLOOD CONTROL,GRAVITY,1937,111,285000,2330,151000,DAEN ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,C,REER,,105,111,1,285000,1,1504,U,620,,,,2053400,08/08/1990,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,22190,-82.09,40.351667,39,39031,16
OH00017,OH,PAINT CREEK DAM,PAINT CREEK LAKE,HIGH,YES,OHIO,,HIGHLAND AND ROSS,BAINBRIDGE,6,PAINT CREEK,FLOOD CONTROL,GRAVITY,1973,118,145000,700,204000,DAEN-ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CSROF,REER,,99,118,20310,145000,1190,576,C,171,,,,778000,12/09/1990,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,13550,-83.35,39.251667,39,,17
OH00018,OH,TOM JENKINS DAM,BURR OAK LAKE,HIGH,YES,OHIO,OH-06,ATHENS,GLOUSTER,3,EAST BR OF SUNDAY CK,FLOOD CONTROL,GRAVITY,1950,84,26900,944,21300,DAEN-ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CRS,RE,,60,84,9300,26900,664,33,U,80,,,,496100,26/06/1995,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,18300,-82.058333,39.541667,39,39009,18
OH00019,OH,MOHICANVILLE DAM,NONE-DRY DAM,HIGH,NO,OHIO,OH-16,ASHLAND,BRINKHAVEN,20,LAKE FORK OF MOHICAN RIVER,FLOOD CONTROL,GRAVITY,1937,46,102000,1220,20500,DAEN-ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,C,RE,,36,46,18,102000,20,271,U,90,,,,310946,07/07/1992,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,71146,-82.153333,40.725,39,39005,19
OH00020,OH,CHARLES MILL DAM,CHARLES MILL LAKE,HIGH,NO,OHIO,OH-16,ASHLAND,PERRYVILLE,8,BLACK FORK OF MOHICAN RIVER,FLOOD CONTROL,GRAVITY,1936,52,88000,1390,23500,DAEN ORH,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CRF,RE,,38,52,7400,88000,1350,215,U,155,,,,397779,08/07/1992,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,71141,-82.36,40.74,39,39005,20
OH00022,OH,SUN VALLEY LAKE DAM,,LOW,,OHIO,OH-07,ROSS,NORTH FORK VILLAGE,1.3,TR-NORTH FORK PAINT CREEK,RECREATION,GRAVITY,1955,20,119,1057,807,"SUN VALLEY LAKE CLUB, INC.",PRIVATE,"OHIO DNR, DIVISION OF WATER",,NO,UNION,R,RE,20,18,,81,119,13.8,0.17,,,,,,,28/03/1995,YES,,,,,,,,,,,OH,05/09/1995,9330-003,-83.086111,39.379444,39,39141,21
OH00023,OH,CALDWELL LAKE DAM,,HIGH,,OHIO,OH-06,ROSS,PRIDE,,TR-STONY CREEK,RECREATION,GRAVITY,1937,33,150,445,917,"ODNR, DIV. OF PARKS & REC",STATE,"OHIO DNR, DIVISION OF WATER",,NO,FRANKLIN,R,RE,30,23,33,58,150,9.6,1,,,,,,,08/03/1990,YES,,,,,,,,,,,OH,05/09/1995,9127-001,-82.951389,39.2275,39,39141,22
OH00024,OH,STEWART LAKE DAM,,HIGH,,OHIO,OH-06,ROSS,PRIDE,,TR-STONY CREEK,RECREATION,GRAVITY,1939,38,,360,2989,"ODNR, DIVISION OF PARKS & RECREATION",STATE,"OHIO DNR, DIVISION OF WATER",,NO,FRANKLIN,R,RE,38,31,,,,7.1,0.33,,,,,,,08/03/1990,YES,,,,,,,,,,,OH,05/09/1995,9127-002,-82.961111,39.2175,39,39141,23
OH00025,OH,MEAD FOREMEN'S CLUB POND DAM,,HIGH,,OHIO,OH-06,ROSS,ALMA,,TR-CROOKED CREEK,RECREATION,GRAVITY,1968,37,188,565,726,MEAD FOREMEN'S CLUB,PRIVATE,"OHIO DNR, DIVISION OF WATER",USDA NRCS,NO,FRANKLIN,R,RE,37,32,,116,188,11,0.23,U,30,,,,34261,20/01/1993,YES,,USDA NRCS,,,,,,,USDA NRCS,11/08/1995,OH,05/09/1995,9127-004,-82.989722,39.195833,39,39141,24
OH00026,OH,PINE LAKE DAM,,LOW,,OHIO,OH-07,ROSS,JIMTOWN,,TR-PIKE RUN,RECREATION,GRAVITY,1938,38,197,470,3367,"ODNR, DIV. OF PARKS & REC",STATE,"OHIO DNR, DIVISION OF WATER",,NO,COLERAIN,R,RE,28,23,38,127,197,14.3,2.4,,,,,,,23/07/1985,NO,,,,,,,,,,,OH,05/09/1995,9325-001,-82.749167,39.384167,39,39141,25
OH00027,OH,CHRISTIAN UNION CHURCH LAKE DAM,,SIGNIFICANT,,OHIO,OH-06,ROSS,MORGANTOWN,,TR-MORGAN FORK,RECREATION,GRAVITY,1968,27,70,460,832,CHURCHES OF CHRIST IN CHRISTIAN UNION,PRIVATE,"OHIO DNR, DIVISION OF WATER",USDA NRCS,NO,TWIN,R,RE,23,18,27,36,70,5.9,0.17,U,30,,,,18070,20/02/1991,NO,,USDA NRCS,,,,,,,USDA NRCS,11/08/1995,OH,05/09/1995,9131-001,-83.152222,39.195833,39,39141,26
OH00028,OH,CLARENCE J BROWN DAM,CLARENCE J BROWN RESERVOIR,HIGH,YES,OHIO,OH-07,CLARK,SPRINGFIELD,2,BUCK CREEK,FLOOD CONTROL,GRAVITY,1973,98,63700,6620,50000,DAEN ORL,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CRO,RE,,70,98,36900,63700,2120,82,U,310,,,,2122802,29/05/1991,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,03310,-83.746667,39.95,39,39023,27
OH00029,OH,WEST FORK OF MILL CREEK LAKE DAM,WEST FORK OF MILL CREEK LAKE,HIGH,YES,OHIO,OH-01,HAMILTON,WOODLAND,2,WEST FORK OF MILL CREEK,FLOOD CONTROL,GRAVITY,1952,106,11380,1100,19500,DAEN-ORL,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CR,RE,,92,106,1530,11380,183,29,U,44,,,,566300,12/07/1990,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,19200,-84.496667,39.26,39,39061,28
OH00030,OH,MICHAEL J KIRWAN DAM AND RESERVOIR,MICHAEL J KIRWAN RESERVOIR,HIGH,YES,OHIO,OH-13,PORTAGE,WAYLAND,1,WEST BRANCH OF THE MAHONING,FLOOD CONTROL,GRAVITY,1966,83,124000,9900,38500,DAEN ORP,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CRSO,RE,,77,83,56700,124000,2650,81,U,300,,,,3432192,06/06/1991,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,19660,-81.08,41.155,39,39133,29
OH00031,OH,MOSQUITO CREEK DAM,MOSQUITO CREEK LAKE,HIGH,YES,OHIO,OH-17,TRUMBULL,WARREN,3,MOSQUITO CREEK,FLOOD CONTROL,GRAVITY,1944,47,180000,5650,4180,DAEN ORP,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CRSO,RE,,43,47,82400,180000,7850,97,U,260,,,,600000,05/06/1991,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,11870,-80.758333,41.3,39,39155,30
OH00032,OH,BERLIN DAM,BERLIN LAKE,HIGH,YES,OHIO,,PORTAGE,PRICETOWN,8,MAHONING RIVER,FLOOD CONTROL,GRAVITY,1943,96,140000,5750,73400,DAEN ORP,FEDERAL,"OHIO DNR, DIVISION OF WATER",CE,NO,,CRSO,PGRE,,94,96,58400,140000,3590,249,C,120,,,,411700,11/06/1992,,CE,CE,CE,CE,CE,CE,CE,CE,CE,12/12/1995,CE,12/12/1995,01400,-81,41.046667,39,39133,31
OH00034,OH,BROKEN ARO SLURRY POND NO. 1 DAM,,SIGNIFICANT,,OHIO,OH-18,COSHOCTON,DRESDEN,9.5,TR-MILL FORK,OTHER,GRAVITY,1962,50,128,705,28,"ODNR, DIVISION OF WILDLIFE",STATE,"OHIO DNR, DIVISION OF WATER",,NO,VIRGINIA,O,RE,50,45,,100,128,6,0.1,,,,,,,05/10/1972,NO,,,,,,,,,,,OH,05/09/1995,0117-008,-81.954167,40.209722,39,39031,32
OH00035,OH,BROKEN ARO SLURRY POND NO. 2 DAM,,SIGNIFICANT,,OHIO,OH-18,COSHOCTON,DRESDEN,9.5,TR-MILL FORK,OTHER,GRAVITY,1966,53,71,360,2636,"ODNR, DIVISION OF WILDLIFE",STATE,"OHIO DNR, DIVISION OF WATER",,NO,VIRGINIA,O,RE,53,44,,45,71,3.2,0.07,,,,,,,05/10/1972,NO,,,,,,,,,,,OH,05/09/1995,0117-003,-81.955,40.211667,39,39031,33
OH00036,OH,BROKEN ARO SLURRY POND NO. 3 DAM,,SIGNIFICANT,,OHIO,OH-18,COSHOCTON,DRESDEN,9.8,TR-MILL FORK,OTHER,GRAVITY,1966,46,31,245,1406,"ODNR, DIVISION OF WILDLIFE",STATE,"OHIO DNR, DIVISION OF WATER",,NO,VIRGINIA,O,RE,46,39,,26,31,1.9,0.04,,,,,,,05/10/1972,NO,,,,,,,,,,,OH,05/09/1995,0117-010,-81.955556,40.213333,39,39031,34
OH00037,OH,BROKEN ARO SLURRY POND NO. 4 DAM,,SIGNIFICANT,,OHIO,OH-18,COSHOCTON,DRESDEN,10.2,TR-MILL FORK,OTHER,GRAVITY,1966,25,1000,500,,"ODNR, DIVISION OF WILDLIFE",STATE,"OHIO DNR, DIVISION OF WATER",,NO,VIRGINIA,O,RE,25,20,,890,1000,27.6,0.09,,,,,,,26/09/1973,NO,,,,,,,,,,,OH,05/09/1995,0117-009,-81.956111,40.217222,39,39031,35
OH00038,OH,SUNSET LAKE DAM,,HIGH,,OHIO,OH-18,COSHOCTON,COSHOCTON,5.3,TR-CROOKED RUN,RECREATION,GRAVITY,1947,25,126,585,354,PAUL ROGERS,PRIVATE,"OHIO DNR, DIVISION OF WATER",,NO,JACKSON,R,RE,25,21,,67,126,11.4,0.48,,,,,,,04/04/1991,NO,,,,,,,,,,,OH,05/09/1995,0217-002,-81.922222,40.28,39,39031,36
OH00039,OH,LAKE WAPUSUN DAM,,HIGH,,OHIO,OH-16,WAYNE,LAKELAND BEACH,,LAKE FORK OF THE MOHICAN RIVER,RECREATION,GRAVITY,1969,37,281,790,699,BOB JOHNSON,PRIVATE,"OHIO DNR, DIVISION OF WATER",,NO,CLINTON,R,RE,34,30,37,213,281,14.2,0.46,,,,,,,23/07/1991,NO,,,,,,,,,,,OH,05/09/1995,0520-002,-82.113333,40.714167,39,39169,37
OH00040,OH,BOREMAN LAKE DAM,,SIGNIFICANT,,OHIO,OH-16,WAYNE,CEDAR VALLEY,,TR-CEDAR RUN,RECREATION,GRAVITY,1971,20,122,580,466,PHILIP G BOREMAN,PRIVATE,"OHIO DNR, DIVISION OF WATER",USDA NRCS,NO,CONGRESS,R,RE,18,14,20,56.8,121.9,13.7,0.27,U,20,,,,,22/06/1989,NO,,USDA NRCS,,,,,,,USDA NRCS,11/08/1995,OH,05/09/1995,0720-005,-82.033889,40.901111,39,39169,38
OH00041,OH,LAKE SYLVAN DAM,,SIGNIFICANT,,OHIO,OH-07,CLARK,HARMONY,6.8,TR-BEAVER CREEK,RECREATION,GRAVITY,1947,21,423,580,429,JEANNETTE ALLEN WARD,PRIVATE,"OHIO DNR, DIVISION OF WATER",,NO,PLEASANT,R,RE,21,18,,238,423,42,1.45,,,,,,,12/12/1990,NO,,,,,,,,,,,OH,05/09/1995,9734-001,-83.593056,39.935278,39,39023,39
OH00042,OH,LEATHERWOOD LAKE DAM,,LOW,,OHIO,OH-18,GUERNSEY,BUFFALO,3.4,TR-SENECA FORK WILLS CREEK,RECREATION,GRAVITY,1972,15,310,2500,,LEATHERWOOD LAKE OWNERS CORPORATION,PRIVATE,"OHIO DNR, DIVISION OF WATER",USDA NRCS,NO,RICHLAND,R,RE,12,8,15,184,310,23,0.14,U,30,,,,40000,09/01/1991,NO,,USDA NRCS,,,,,,,USDA NRCS,11/08/1995,OH,05/09/1995,9713-002,-81.470833,39.922222,39,39059,40
OH00043,OH,CAMBRIDGE CITY RESERVOIR DAM,,HIGH,,OHIO,OH-18,GUERNSEY,BYESVILLE,2.7,BOARD OF TRADE RUN,WATER SUPPLY,GRAVITY,1916,46,655,476,1776,CITY OF CAMBRIDGE,LOCAL GOV'T,"OHIO DNR, DIVISION OF WATER",,NO,CAMBRIDGE,SR,RE,46,41,,446,655,33,0.63,,,,,,,06/04/1993,YES,,,,,,,,,,,OH,05/09/1995,0014-002,-81.558333,40.005,39,39059,41
OH00044,OH,ELDON RESERVOIR DAM,,LOW,,OHIO,OH-18,GUERNSEY,QUAKER CITY,1.3,TR-LEATHERWOOD CREEK,WATER SUPPLY,GRAVITY,1933,38,64,320,,CSX TRANSPORTATION,PRIVATE,"OHIO DNR, DIVISION OF WATER",,NO,MILLWOOD,S,RE,38,32,,53,64,4.5,0.28,,,,,,,18/10/1977,NO,,,,,,,,,,,OH,05/09/1995,9712-001,-81.280556,39.961389,39,39059,42
OH00045,OH,MARTIN FARM LAKE DAM,,LOW,,OHIO,OH-18,GUERNSEY,WILLS CREEK LAKE,4.9,TR-WILLS CREEK,RECREATION,GRAVITY,1973,30,49,335,380,JEFFREY D. & MARILYN N. MARTIN,PRIVATE,"OHIO DNR, DIVISION OF WATER",USDA NRCS,NO,LIBERTY,R,RE,30,24,,22,48.9,3.3,0.34,U,16,,,,17600,02/04/1993,NO,,USDA NRCS,,,,,,,USDA NRCS,11/08/1995,OH,05/09/1995,0014-004,-81.599167,40.098333,39,39059,43
OH00046,OH,TENNESSEE GAS COMPANY LAKE DAM,RECREATION AREA LAKE,LOW,,OHIO,OH-18,GUERNSEY,OPPERMAN,10.6,FLAT RUN,RECREATION,GRAVITY,1951,18,59,580,375,TENNESSEE GAS COMPANY,PRIVATE,"OHIO DNR, DIVISION OF WATER",,NO,WESTLAND,R,RE,18,15,,41,59,8.1,0.35,,,,,,,,NO,,,,,,,,,,,OH,05/09/1995,9715-006,-81.686667,39.937222,39,39059,44
OH00047,OH,HIDDEN HAVEN LAKE DAM,,LOW,,OHIO,OH-18,GUERNSEY,FREEPORT,8,TR-MILLERS FORK,RECREATION,GRAVITY,1961,38,175,365,331,W. DALE MILLER,PRIVATE,"OHIO DNR, DIVISION OF WATER",,NO,LONDONDERRY,R,RE,38,31,,102,175,10,0.32,,,,,,,06/04/1993,NO,,,,,,,,,,,OH,05/09/1995,0112-001,-81.301111,40.129167,39,39059,45
OH00048,OH,BISHARD POND DAM,,LOW,,OHIO,OH-18,GUERNSEY,BIRDS RUN,8.1,TR-WILLS CREEK,RECREATION,GRAVITY,1965,16,232,1330,44,MRS. RAY BISHARD,PRIVATE,"OHIO DNR, DIVISION OF WATER",,NO,LIBERTY,R,RE,16,9,,28.7,232,15.7,0.58,,,,,,,18/03/1992,NO,,,,,,,,,,,OH,05/09/1995,0114-001,-81.601111,40.155556,39,39059,46
OH00050,OH,INDIAN LAKES REC. AREA UPPER LAKE DAM,INDIAN UPPER LAKE,HIGH,,OHIO,OH-18,GUERNSEY,BYESVILLE,3.8,TR-WILLS CREEK,RECREATION,GRAVITY,1962,33,74,415,2130,ROBERT KIRKMAN,PRIVATE,"OHIO DNR, DIVISION OF WATER",,NO,JACKSON,R,RE,20,12,33,18.2,73.7,5.5,0.37,,,,,,,14/05/1992,YES,,,,,,,,,,,OH,05/09/1995,9714-001,-81.577222,39.9475,39,39059,47
OH00051,OH,INDIAN LAKES REC. AREA LOWER LAKE DAM,INDIAN LOWER LAKE,HIGH,,OHIO,OH-18,GUERNSEY,BYESVILLE,3.4,TR-WILLS CREEK,RECREATION,GRAVITY,1962,29,127,405,1720,ROBERT KIRKMAN,PRIVATE,"OHIO DNR, DIVISION OF WATER",,NO,JACKSON,R,RE,17,12,29,51,127,12.9,0.73,,,,,,,14/05/1992,YES,,,,,,,,,,,OH,05/09/1995,9714-002,-81.571111,39.946667,39,39059,48
OH00052,OH,SPRING LAKE DAM,,LOW,,OHIO,OH-18,GUERNSEY,CAMBRIDGE,3.4,TR-CROOKED CREEK,RECREATION,GRAVITY,1951,43,110,320,432,DR. GEORGE GARDINSKY,PRIVATE,"OHIO DNR, DIVISION OF WATER",,NO,WESTLAND,R,RE,33,28,43,73,110,7.5,0.25,,,,,,,02/04/1987,YES,,,,,,,,,,,OH,05/09/1995,9715-004,-81.636944,39.986667,39,39059,49
OH00053,OH,LUBURGH LAKE DAM,,HIGH,,OHIO,OH-18,GUERNSEY,CAMBRIDGE,2.8,TR-CROOKED CREEK,RECREATION,GRAVITY,1963,62,1646,860,2124,C.M. LUBURGH CONSTRUCTION COMPANY,PRIVATE,"OHIO DNR, DIVISION OF WATER",,NO,WESTLAND,R,RE,51,42,62,1003,1646,56.9,1.19,,,,,,,27/02/1987,YES,,,,,,,,,,,OH,05/09/1995,9715-003,-81.638333,39.996667,39,39059,50
OH00054,OH,MCMILLAN LAKE DAM,,LOW,,OHIO,OH-18,MUSKINGUM,WHITE COTTAGE,,TR-KENT RUN,RECREATION,GRAVITY,1963,32,44,500,213,JANIS MCMILLAN,PRIVATE,"OHIO DNR, DIVISION OF WATER",USDA NRCS,NO,HOPEWELL,R,RE,26,23,32,34,44.2,3.9,,U,12,,,,17815,,NO,,USDA NRCS,,,,,,,USDA NRCS,11/08/1995,OH,05/09/1995,9721-003,-82.182222,39.960556,39,39119,51
